visual,found,time
1,1,14.55746615499993
1,1,12.10870403699937
1,1,11.095382902999518
1,1,13.289620867999474
1,1,10.960591521999959
1,1,15.653039458000421
1,1,15.687393215999691
1,1,12.618647534000047
1,1,12.764223590000256
1,1,11.86765763800031
1,0,13.153186370000185
1,0,9.335996346999764
1,0,9.322622715000762
1,0,8.856630674999906
1,0,9.458375054000498
1,0,8.088922745000673
1,0,9.56503457999952
1,0,9.64757929299958
1,0,9.776173731000199
1,0,9.23464300499927
1,0,9.705101221000405
1,0,8.473455323000053
1,0,9.932672789000208
1,0,9.341836680999222
1,0,11.10289284800001
1,0,9.816733095000018
1,0,9.955495839999458
1,0,9.417516174999946
1,0,9.782698595000511
1,0,12.469203740999546
1,0,11.82011640699966
1,0,15.439098314999683
1,0,9.991911750000327
0,1,7.262833777999731
0,1,6.944309212000007
0,1,7.164907450000101
0,1,6.8780152710005495
0,1,7.038466869000331
0,1,5.870692720000079
0,1,6.431428022000546
0,1,5.776159082000049
0,1,5.76067772999977
0,1,5.765308776999518
0,1,6.763807036999424
0,1,6.5773690400001215
0,1,6.581964031999632
0,1,6.697705367000708
0,1,6.974997349999285
0,1,6.688131617999716
0,1,6.702276576999793
0,1,6.625737831000151
0,1,6.625471359000585
0,0,5.195668704000127
0,0,5.203838824000741
0,0,5.163223231000302
0,0,5.043361531000301
0,0,5.059055351000097
0,0,5.1384858090004855
0,0,8.378706993999913
0,0,5.252491489000022
0,0,5.0191808900008255
0,0,5.198699062000742
0,0,5.004790762000084
0,0,5.125008203999641
0,0,5.074522618000628
0,0,5.183703220000098
0,0,5.98467263800012
0,0,8.151391166999929
0,0,5.614263643999948
0,0,5.625643813999886
0,0,6.549971579999692
0,0,5.2977008560001195
0,0,5.5060151210000186
